"","Type","Mass","variable","Cont","mean","CI_95","CI_05"
"262","Packed Product","60 Tomatoes","Power_Pick_3","10%",0.08,0.11,0.049
"263","Packed Product","60 Tomatoes","Power_Pick_3","1%",0.065,0.09,0.029
"264","Packed Product","60 Tomatoes","Power_Pick_3","0.1%",0.03,0.05,0.01
"265","Packed Product","20 Tomato Mash","Power_Pick_1","100%",0.005,0.011,0
"266","Packed Product","20 Tomato Mash","Power_Pick_1","10%",0,0.02,0
"267","Packed Product","20 Tomato Mash","Power_Pick_1","1%",0.01,0.01,0
"268","Packed Product","20 Tomato Mash","Power_Pick_1","0.1%",0,0.01,0
"269","Packed Product","20 Tomato Mash","Power_Pick_2","100%",0.01,0.02,0
"270","Packed Product","20 Tomato Mash","Power_Pick_2","10%",0.005,0.02,0
"271","Packed Product","20 Tomato Mash","Power_Pick_2","1%",0,0.021,0
"272","Packed Product","20 Tomato Mash","Power_Pick_2","0.1%",0,0.01,0
"273","Packed Product","20 Tomato Mash","Power_Pick_3","100%",0.01,0.011,0
"274","Packed Product","20 Tomato Mash","Power_Pick_3","10%",0,0.021,0
"275","Packed Product","20 Tomato Mash","Power_Pick_3","1%",0.01,0.02,0
"276","Packed Product","20 Tomato Mash","Power_Pick_3","0.1%",0,0.011,0
"277","Packed Product","60 Tomato Mash","Power_Pick_1","100%",0.015,0.034,0.01
"278","Packed Product","60 Tomato Mash","Power_Pick_1","10%",0.015,0.05,0
"279","Packed Product","60 Tomato Mash","Power_Pick_1","1%",0.01,0.031,0
"280","Packed Product","60 Tomato Mash","Power_Pick_1","0.1%",0.01,0.021,0
"281","Packed Product","60 Tomato Mash","Power_Pick_2","100%",0.03,0.041,0.02
"282","Packed Product","60 Tomato Mash","Power_Pick_2","10%",0.02,0.03,0.009
"283","Packed Product","60 Tomato Mash","Power_Pick_2","1%",0.02,0.031,0.009
"284","Packed Product","60 Tomato Mash","Power_Pick_2","0.1%",0.01,0.021,0
"285","Packed Product","60 Tomato Mash","Power_Pick_3","100%",0.02,0.031,0.009
"286","Packed Product","60 Tomato Mash","Power_Pick_3","10%",0.02,0.04,0
"287","Packed Product","60 Tomato Mash","Power_Pick_3","1%",0.02,0.04,0.01
"288","Packed Product","60 Tomato Mash","Power_Pick_3","0.1%",0.01,0.021,0
