,Cont,Pick,Type,Mass,Cont Type,HI
49,9.110905754187763e-05,3.0,PH,1 Tomato,Uniform,139530.0
0,0.0,1.0,PH,1 Tomato,Uniform,143602.0
1,0.0,1.0,PH,1 Tomato,Uniform,143602.0
2,0.0,1.0,PH,1 Tomato,Uniform,143602.0
3,0.0,1.0,PH,1 Tomato,Uniform,143602.0
4,0.0,1.0,PH,1 Tomato,Uniform,143602.0
5,0.0,1.0,PH,1 Tomato,Uniform,143602.0
6,0.0,1.0,PH,1 Tomato,Uniform,143602.0
7,0.0,1.0,PH,1 Tomato,Uniform,143602.0
8,0.0,1.0,PH,1 Tomato,Uniform,143602.0
9,0.0,1.0,PH,1 Tomato,Uniform,143602.0
10,0.0,1.0,PH,1 Tomato,Uniform,143602.0
11,0.0,1.0,PH,1 Tomato,Uniform,143602.0
12,0.0,1.0,PH,1 Tomato,Uniform,143602.0
13,0.0,1.0,PH,1 Tomato,Uniform,143602.0
14,0.0,1.0,PH,1 Tomato,Uniform,143602.0
15,0.0,1.0,PH,1 Tomato,Uniform,143602.0
16,0.0,1.0,PH,1 Tomato,Uniform,143602.0
17,0.0,1.0,PH,1 Tomato,Uniform,143602.0
18,0.0,1.0,PH,1 Tomato,Uniform,143602.0
19,0.0,1.0,PH,1 Tomato,Uniform,143602.0
20,0.0,1.0,PH,1 Tomato,Uniform,143602.0
21,0.0,1.0,PH,1 Tomato,Uniform,143602.0
22,0.0,1.0,PH,1 Tomato,Uniform,143602.0
23,0.0,1.0,PH,1 Tomato,Uniform,143602.0
24,0.0,1.0,PH,1 Tomato,Uniform,143602.0
25,0.19773525966419367,1.0,PH,1 Tomato,Uniform,143602.0
26,0.0,1.0,PH,1 Tomato,Uniform,143602.0
27,0.0,1.0,PH,1 Tomato,Uniform,143602.0
28,0.0,1.0,PH,1 Tomato,Uniform,143602.0
29,0.0,1.0,PH,1 Tomato,Uniform,143602.0
30,0.0,1.0,PH,1 Tomato,Uniform,143602.0
31,0.05995054015358584,1.0,PH,1 Tomato,Uniform,143602.0
32,0.0,1.0,PH,1 Tomato,Uniform,143602.0
33,0.0,1.0,PH,1 Tomato,Uniform,143602.0
34,0.0,1.0,PH,1 Tomato,Uniform,143602.0
35,0.46427176884029675,1.0,PH,1 Tomato,Uniform,143602.0
36,0.0,1.0,PH,1 Tomato,Uniform,143602.0
37,0.0,1.0,PH,1 Tomato,Uniform,143602.0
38,0.09830795262267343,1.0,PH,1 Tomato,Uniform,143602.0
39,0.0,1.0,PH,1 Tomato,Uniform,143602.0
40,0.0,1.0,PH,1 Tomato,Uniform,143602.0
41,0.384120786151243,1.0,PH,1 Tomato,Uniform,143602.0
42,0.0,1.0,PH,1 Tomato,Uniform,143602.0
43,0.0,1.0,PH,1 Tomato,Uniform,143602.0
44,0.3117141741507224,1.0,PH,1 Tomato,Uniform,143602.0
45,0.0,1.0,PH,1 Tomato,Uniform,143602.0
